Anime,Genre_Tags,Source,Nb_Episodes,Status,Studio,Date_Pub,Note_Globale,Note_Meilleur_Ep,Meilleur_Ep_Titre,Comm_Meilleur_Ep,Note_Pire_Ep,Pire_Ep_Titre,Comm_Pire_Ep,Comm_Saison_1,Comm_Saison_2,Comm_Saison_3,Ecart,Regularite,Longueur,Note_Engagement,Note_Status,Score_Complexe,Score_Secu,Score_Quali,Rang_Expert,Rang_Secu,Rang_Quali,Score_Final,Segment_Editorial
Naruto,Action / Shonen,Manga,220,Fini,Studio Pierrot,2002-10-03,8.4,9.6,Ep 133: Le cri des larmes,Animation fluide et combat viscéral incroyable.,5.8,Ep 26: Journal de Konoha (Recap),"Remplissage inutile, à sauter.","Arc Zabuza très émouvant, bases solides.",Examen Chuunin introduit une tension sombre.,Combat Lee vs Gaara légendaire.,3.8,6.2,5.393627546352362,7.7118662209945485,10,7.751186622099455,7.345593311049728,8.111186622099456,30.0,44.0,24.0,7.751186622099455,Risqué / Inégal
Trigun,Sci-Fi / Action,Manga,26,Fini,Madhouse,1998-04-01,8.2,9.1,Ep 24: Le péché (Sin),"Conclusion tragique de l'arc Wolfwood, émotion pure.",6.5,Ep 13: Vash the Stampede (Recap),Résumé de mi-saison qui casse le rythme.,"Début western comique, Vash joue l'idiot.",Virage dramatique sombre avec les Gung-Ho Guns.,Révélations philosophiques sur le passé et Knives.,2.5999999999999996,7.4,3.258096538021482,4.658461197102779,10,7.6958461197102785,7.7129230598551395,7.765846119710278,33.0,32.0,42.0,7.6958461197102785,Risqué / Inégal
Dragon Ball Z,Action / Shonen,Manga,291,Fini,Toei Animation,1989-04-26,8.7,9.4,Ep 237: Le sacrifice d'un père,"Rédemption ultime de Vegeta, sommet émotionnel.",5.9,Ep 39: Amis ou ennemis (Fake Namek),"Filler ennuyeux sur une fausse planète, inutile.",Introduction des Saiyans et codes du Shonen posés.,Aventure spatiale et tension tactique sur Namek.,"Transformation Super Saiyan iconique, combat épique.",3.5,6.5,5.673323267171493,8.111778147245465,10,8.046177814724548,7.635588907362274,8.421177814724548,17.0,37.0,9.0,8.046177814724548,Très bon
Fullmetal Alchemist: Brotherhood,Aventure / Military,Manga,64,Fini,Bones,2009-04-05,9.1,9.6,Ep 63: De l'autre côté de la porte,"Sacrifice thématique parfait, conclusion magistrale.",6.3,Ep 27: Intermède (Recap),Episode récapitulatif cassant le rythme.,"Début effréné, traumatisme Nina Tucker marquant.",Complot politique et Mustang brille contre Lust.,"Ambiance militaire froide à Briggs, tension monte.",3.3,6.7,4.1588830833596715,5.946415411890552,10,8.109641541189056,7.787320770594528,8.544641541189055,10.0,28.0,3.0,8.109641541189056,Très bon
Cowboy Bebop,Sci-Fi / Noir,Original,26,Fini,Sunrise,1998-04-03,8.8,9.7,Ep 26: The Real Folk Blues Pt.2,Fin poétique et iconique. Bang.,7.2,Ep 23: Boogie Woogie Feng Shui,Intrigue faible et rythme un peu mou.,Formation de l'équipe et choc visuel à l'église.,Exploration mélancolique du passé (Jupiter Jazz).,Confrontation fatale avec le Syndicat et Vicious.,2.499999999999999,7.500000000000001,3.258096538021482,4.658461197102779,10,8.055846119710278,8.00292305985514,8.255846119710279,16.0,20.0,15.0,8.055846119710278,Très bon
Sword Art Online,Isekai / Romance,Light Novel,25,Fini,A-1 Pictures,2012-07-08,7.2,8.9,Ep 9: Le démon aux yeux bleus,"Hype absolue, révélation du Dual Wield.",5.9,Ep 22: La grande quête (Alfheim),Rythme lent et enjeux faibles dans l'arc des fées.,"Concept 'Jeu de la mort' accrocheur, romance forte.","Chute de qualité, méchant caricatural et moins de tension.",Retour en force avec Gun Gale Online et ton plus mature.,3.0,7.0,3.2188758248682006,4.602383002913293,10,7.02023830029133,7.110119150145666,6.92023830029133,53.0,48.0,57.0,7.02023830029133,À éviter
Re:Zero,Isekai / Psychologique,Light Novel,50,Fini,White Fox,2016-04-04,8.2,9.8,Ep 15: L'extérieur de la folie,"Chef d'oeuvre d'horreur et de désespoir, fin légendaire.",7.6,Ep 13: Le chevalier autoproclamé,"Episode gênant (cringe) voulu par le scénario, dur à voir.",Boucle temporelle et basculement vers le thriller psycho.,Arc Sanctuaire dense en dialogues et passé des sorcières.,"Résolution intelligente, Subaru grandit et utilise son pouvoir.",2.200000000000001,7.799999999999999,3.912023005428146,5.5934522382283856,10,7.9093452238228386,7.959672611911419,7.899345223822839,25.0,22.0,38.0,7.9093452238228386,Très bon
Dr. Stone,Sci-Fi / Adventure,Manga,57,En cours,TMS Entertainment,2019-07-05,8.3,9.1,Ep 24: Les voix vers l'infini,"Conclusion S1 émouvante, lien passé-futur sublime.",7.1,Ep 14: Master of Flame,"Rythme un peu plus lent, préparation de tournoi.","Le réveil dans un monde de pierre, la science contre la force.",Stone Wars : Conflit idéologique et batailles tactiques.,New World : Exploration maritime et découverte du 'Pourquoi'. ,2.0,8.0,4.04305126783455,5.780797846015288,0,7.543079784601528,7.609039892300765,8.018079784601529,38.0,39.0,28.0,7.793079784601528,Risqué / Inégal
One Piece,Adventure / Shonen,Manga,1090,En cours,Toei Animation,1999-10-20,8.7,9.8,Ep 1015: Chapeau de Paille Luffy,"Réalisation cinéma époustouflante, sommet de Wano.",5.6,Ep 336: Chopperman (Filler),Episode hors-série enfantin totalement dispensable.,"Saga East Blue : La formation de l'équipage, nostalgie pure.",Saga Alabasta : Premier grand défi géopolitique contre un Corsaire.,Saga Skypiea/Water 7 : Aventure céleste puis drame interne majeur.,4.200000000000001,5.799999999999999,6.993932975223189,10.0,0,7.5249999999999995,6.879999999999999,8.54,40.0,50.0,5.0,7.7749999999999995,Risqué / Inégal
Blue Lock,Sport / Thriller,Manga,36,En cours,8bit,2022-10-09,8.2,9.3,Ep 11: La dernière pièce,"Le puzzle s'assemble, le but d'Isagi est jouissif.",6.0,Ep 22: Voice (S2),"Qualité d'animation en baisse critique, beaucoup de plans fixes.","Concept Battle Royale de foot, égoïsme pur mis en avant.","Sélection U-20, enjeux d'équipe vs individualité.",(Non diffusé),3.3000000000000007,6.699999999999999,3.58351893845611,5.123753617815808,0,7.032375361781581,6.88618768089079,7.742375361781581,52.0,49.0,43.0,7.282375361781581,À éviter
Haikyuu!!,Sport / Volley,Manga,85,Fini,Production I.G,2014-04-06,8.7,9.9,Ep 10 (S3): La bataille de concepts,Match Karasuno vs Shiratorizawa. Tension irrespirable.,7.5,Ep 15 (S4): Found,"Animation parfois instable dans la S4, mais reste correct.","Formation de l'équipe, duo Hinata/Kageyama explosif.",Développement des rivaux et tournois qualificatifs.,Saison 3 entière dédiée à un seul match légendaire.,2.4000000000000004,7.6,4.442651256490317,6.352150173913475,10,8.200215017391347,8.097607508695674,8.355215017391348,8.0,16.0,10.0,8.200215017391347,Chef-d'œuvre
One Punch Man,Action / Comedy,Web Manga,24,En cours,Madhouse,2015-10-05,8.5,9.6,Ep 12: Le plus fort des héros,Saitama vs Boros. L'apogée de l'animation japonaise moderne.,6.8,Ep 14 (S2): Le monstre humain,"Changement de studio (JC Staff), baisse visuelle critiquée.","Saison 1 légendaire par Madhouse, satire parfaite des héros.","Saison 2 introduit Garou, histoire plus dense mais anim moins bonne.",(Non diffusé - En production),2.8,7.2,3.1780538303479458,4.544015279538089,0,7.289401527953809,7.227200763976905,7.974401527953809,45.0,47.0,31.0,7.539401527953809,Risqué / Inégal
Solo Leveling,Action / Fantasy,Manhwa,12,En cours,A-1 Pictures,2024-01-07,8.3,9.5,Ep 12: Arise (Lève-toi),Le moment que tous les fans attendaient. Frissons garantis.,6.2,Ep 7.5: Recap,Episode récapitulatif de mi-saison inutile sur 12 épisodes.,Jinwoo passe de faible à 'Monarque'. Progression addictive.,(Saison 2 annoncée),(Non diffusé),3.3,6.7,2.4849066497880004,3.5529460442229963,0,6.9302946044223,6.84764730221115,7.6652946044223,54.0,52.0,47.0,7.1802946044223,À éviter
